id,steps,stage,time
576,361,1,25/12/2024
577,371,1,25/12/2024
578,379,1,25/12/2024
579,368,1,25/12/2024
580,362,1,25/12/2024
581,349,1,25/12/2024
582,359,1,25/12/2024
583,369,1,25/12/2024
584,333,1,25/12/2024
585,356,1,25/12/2024
586,337,1,25/12/2024
587,340,1,25/12/2024
588,360,1,25/12/2024
589,357,1,25/12/2024
590,337,1,25/12/2024
591,348,1,25/12/2024
592,361,1,25/12/2024
593,379,1,25/12/2024
594,351,1,25/12/2024
595,400,1,25/12/2024
596,352,1,25/12/2024
597,345,1,25/12/2024
598,347,1,25/12/2024
599,346,1,25/12/2024
600,337,1,25/12/2024
601,365,1,25/12/2024
602,382,1,25/12/2024
603,362,1,25/12/2024
604,349,1,25/12/2024
605,356,1,25/12/2024
606,372,1,25/12/2024
607,365,1,25/12/2024
608,349,1,25/12/2024
609,345,1,25/12/2024
610,343,1,25/12/2024
611,353,1,25/12/2024
612,356,1,25/12/2024
613,336,1,25/12/2024
614,358,1,25/12/2024
615,352,1,25/12/2024
616,338,1,25/12/2024
617,414,1,25/12/2024
618,341,1,25/12/2024
619,354,1,25/12/2024
620,345,1,25/12/2024
621,342,1,25/12/2024
622,346,1,25/12/2024
623,362,1,25/12/2024
624,356,1,25/12/2024
625,338,1,25/12/2024
626,361,1,25/12/2024
627,347,1,25/12/2024
628,341,1,25/12/2024
629,348,1,25/12/2024
630,360,1,25/12/2024
631,350,1,25/12/2024
632,321,1,25/12/2024
633,356,1,25/12/2024
634,318,1,25/12/2024
635,307,1,25/12/2024
636,293,1,25/12/2024
637,332,1,25/12/2024
638,332,1,25/12/2024
